0.00	2.999999608602e-01
0.04	2.999998434408e-01
0.08	2.999996477425e-01
0.12	2.999993737662e-01
0.16	2.999990215131e-01
0.20	2.999985909847e-01
0.24	2.999980821831e-01
0.28	2.999974951103e-01
0.32	2.999968297689e-01
0.36	2.999960861615e-01
0.40	2.999952642912e-01
0.44	2.999943641614e-01
0.48	2.999933857756e-01
0.52	2.999923291377e-01
0.56	2.999911942517e-01
0.60	2.999899811221e-01
0.64	2.999886897533e-01
0.68	2.999873201501e-01
0.72	2.999858723173e-01
0.76	2.999843462599e-01
0.80	2.999827419830e-01
0.84	2.999810594920e-01
0.88	2.999792987922e-01
0.92	2.999774598889e-01
0.96	2.999755427877e-01
1.00	2.999735474940e-01
1.04	2.999714740134e-01
1.08	2.999693223514e-01
1.12	2.999670925133e-01
1.16	2.999647845048e-01
1.20	2.999623983311e-01
1.24	2.999599339977e-01
1.28	2.999573915100e-01
1.32	2.999547708731e-01
1.36	2.999520720923e-01
1.40	2.999492951726e-01
1.44	2.999464401191e-01
1.48	2.999435069366e-01
1.52	2.999404956297e-01
1.56	2.999374062030e-01
1.60	2.999342386608e-01
1.64	2.999309930074e-01
1.68	2.999276692468e-01
1.72	2.999242673831e-01
1.76	2.999207874199e-01
1.80	2.999172293611e-01
1.84	2.999135932100e-01
1.88	2.999098789702e-01
1.92	2.999060866449e-01
1.96	2.999022162370e-01
2.00	2.998982677497e-01
2.04	2.998942411857e-01
2.08	2.998901365476e-01
2.12	2.998859538379e-01
2.16	2.998816930590e-01
2.20	2.998773542132e-01
2.24	2.998729373026e-01
2.28	2.998684423292e-01
2.32	2.998638692950e-01
2.36	2.998592182018e-01
2.40	2.998544890513e-01
2.44	2.998496818451e-01
2.48	2.998447965850e-01
2.52	2.998398332724e-01
2.56	2.998347919087e-01
2.60	2.998296724955e-01
2.64	2.998244750342e-01
2.68	2.998191995260e-01
2.72	2.998138459723e-01
2.76	2.998084143743e-01
2.80	2.998029047332e-01
2.84	2.997973170502e-01
2.88	2.997916513265e-01
2.92	2.997859075632e-01
2.96	2.997800857616e-01
3.00	2.997741859229e-01
3.04	2.997682080483e-01
3.08	2.997621521391e-01
3.12	2.997560181967e-01
3.16	2.997498062223e-01
3.20	2.997435162175e-01
3.24	2.997371481835e-01
3.28	2.997307021219e-01
3.32	2.997241780342e-01
3.36	2.997175759218e-01
3.40	2.997108957865e-01
3.44	2.997041376298e-01
3.48	2.996973014535e-01
3.52	2.996903872595e-01
3.56	2.996833950497e-01
3.60	2.996763248259e-01
3.64	2.996691765904e-01
3.68	2.996619503453e-01
3.72	2.996546460928e-01
3.76	2.996472638354e-01
3.80	2.996398035753e-01
3.84	2.996322653154e-01
3.88	2.996246490580e-01
3.92	2.996169548061e-01
3.96	2.996091825623e-01
4.00	2.996013323296e-01
4.04	2.995934041110e-01
4.08	2.995853979097e-01
4.12	2.995773137287e-01
4.16	2.995691515714e-01
4.20	2.995609114412e-01
4.24	2.995525933416e-01
4.28	2.995441972762e-01
4.32	2.995357232489e-01
4.36	2.995271712633e-01
4.40	2.995185413233e-01
4.44	2.995098334330e-01
4.48	2.995010475964e-01
4.52	2.994921838175e-01
4.56	2.994832421005e-01
4.60	2.994742224497e-01
4.64	2.994651248694e-01
4.68	2.994559493639e-01
4.72	2.994466959376e-01
4.76	2.994373645950e-01
4.80	2.994279553406e-01
4.84	2.994184681790e-01
4.88	2.994089031147e-01
4.92	2.993992601523e-01
4.96	2.993895392965e-01
5.00	2.993797405520e-01
5.04	2.993698639233e-01
5.08	2.993599094151e-01
5.12	2.993498770321e-01
5.16	2.993397667789e-01
5.20	2.993295786600e-01
5.24	2.993193126800e-01
5.28	2.993089688434e-01
5.32	2.992985471547e-01
5.36	2.992880476183e-01
5.40	2.992774702386e-01
5.44	2.992668150201e-01
5.48	2.992560819670e-01
5.52	2.992452710835e-01
5.56	2.992343823739e-01
5.60	2.992234158422e-01
5.64	2.992123714926e-01
5.68	2.992012493288e-01
5.72	2.991900493547e-01
5.76	2.991787715741e-01
5.80	2.991674159905e-01
5.84	2.991559826075e-01
5.88	2.991444714286e-01
5.92	2.991328824571e-01
5.96	2.991212156963e-01
6.00	2.991094711494e-01
6.04	2.990976488194e-01
6.08	2.990857487092e-01
6.12	2.990737708218e-01
6.16	2.990617151598e-01
6.20	2.990495817258e-01
6.24	2.990373705224e-01
6.28	2.990250815518e-01
6.32	2.990127148165e-01
6.36	2.990002703187e-01
6.40	2.989877480603e-01
6.44	2.989751480435e-01
6.48	2.989624702700e-01
6.52	2.989497147417e-01
6.56	2.989368814602e-01
6.60	2.989239704271e-01
6.64	2.989109816439e-01
6.68	2.988979151122e-01
6.72	2.988847708332e-01
6.76	2.988715488082e-01
