10	-1.123147864152e-01 7.386148232596e-02 4.815453285960e-01 3.133100010862e+00 -4.473776203499e+00 -4.223646163361e+00 -7.035163154858e-01 -2.962068244174e-01 -3.368811786050e+00 3.999829630940e+00 4.251525860385e+00 -2.112699893772e+00 1.870328543289e+00 1.041623358102e+00 1.119648135300e+00
20	-1.123147889320e-01 7.386148494885e-02 4.815453275859e-01 3.133100010604e+00 -4.473776205435e+00 -4.223646163762e+00 -7.035163148786e-01 -2.962068283460e-01 -3.368811782573e+00 3.999829630705e+00 4.251525859487e+00 -2.112699885018e+00 1.870328539100e+00 1.041623260883e+00 1.119648229294e+00
30	-1.123147868560e-01 7.386148934721e-02 4.815453255849e-01 3.133100013964e+00 -4.473776209182e+00 -4.223646164656e+00 -7.035163162098e-01 -2.962068376230e-01 -3.368811776762e+00 3.999829632041e+00 4.251525858633e+00 -2.112699872324e+00 1.870328528267e+00 1.041623105511e+00 1.119648364768e+00
40	-1.123147810930e-01 7.386150048167e-02 4.815453242435e-01 3.133100029945e+00 -4.473776216187e+00 -4.223646167424e+00 -7.035163234573e-01 -2.962068598144e-01 -3.368811769988e+00 3.999829639636e+00 4.251525860106e+00 -2.112699851546e+00 1.870328501732e+00 1.041622874209e+00 1.119648530067e+00
50	-1.123147798063e-01 7.386152850229e-02 4.815453277430e-01 3.133100075982e+00 -4.473776228608e+00 -4.223646175491e+00 -7.035163426107e-01 -2.962069076068e-01 -3.368811767856e+00 3.999829662267e+00 4.251525868332e+00 -2.112699813727e+00 1.870328445333e+00 1.041622551798e+00 1.119648699370e+00
60	-1.123147912422e-01 7.386158523559e-02 4.815453413879e-01 3.133100177908e+00 -4.473776250316e+00 -4.223646196632e+00 -7.035163801118e-01 -2.962069953947e-01 -3.368811785166e+00 3.999829711294e+00 4.251525888634e+00 -2.112699747673e+00 1.870328345465e+00 1.041622145826e+00 1.119648817208e+00
70	-1.123148354503e-01 7.386167797510e-02 4.815453698253e-01 3.133100371806e+00 -4.473776285582e+00 -4.223646241851e+00 -7.035164386002e-01 -2.962071311367e-01 -3.368811846520e+00 3.999829800615e+00 4.251525927257e+00 -2.112699646401e+00 1.870328199081e+00 1.041621698098e+00 1.119648796431e+00
80	-1.123149486976e-01 7.386180160194e-02 4.815454143713e-01 3.133100699792e+00 -4.473776335291e+00 -4.223646322010e+00 -7.035165119518e-01 -2.962073068374e-01 -3.368811985660e+00 3.999829943261e+00 4.251525988815e+00 -2.112699514259e+00 1.870328023730e+00 1.041621272299e+00 1.119648532716e+00
90	-1.123151665981e-01 7.386193221886e-02 4.815454700803e-01 3.133101200410e+00 -4.473776394440e+00 -4.223646445219e+00 -7.035165829427e-01 -2.962074936866e-01 -3.368812246636e+00 3.999830146851e+00 4.251526073420e+00 -2.112699373244e+00 1.870327862258e+00 1.041620928062e+00 1.119647927764e+00
100	-1.123155217752e-01 7.386202808857e-02 4.815455265651e-01 3.133101898046e+00 -4.473776447919e+00 -4.223646613151e+00 -7.035166208056e-01 -2.962076402971e-01 -3.368812687416e+00 3.999830410221e+00 4.251526175578e+00 -2.112699261274e+00 1.870327783602e+00 1.041620698487e+00 1.119646906052e+00
110	-1.123160434456e-01 7.386203949213e-02 4.815455721876e-01 3.133102796904e+00 -4.473776469645e+00 -4.223646821721e+00 -7.035165817702e-01 -2.962076779051e-01 -3.368813389294e+00 3.999830723092e+00 4.251526285628e+00 -2.112699221965e+00 1.870327877945e+00 1.041620569700e+00 1.119645433181e+00
120	-1.123167402379e-01 7.386192167474e-02 4.815455968096e-01 3.133103880429e+00 -4.473776428542e+00 -4.223647066208e+00 -7.035164160244e-01 -2.962075322897e-01 -3.368814461086e+00 3.999831067575e+00 4.251526391134e+00 -2.112699293288e+00 1.870328244058e+00 1.041620476951e+00 1.119643536653e+00
130	-1.123175939292e-01 7.386164852901e-02 4.815455942177e-01 3.133105115638e+00 -4.473776299281e+00 -4.223647346046e+00 -7.035160801976e-01 -2.962071387392e-01 -3.368816023150e+00 3.999831422339e+00 4.251526479444e+00 -2.112699496184e+00 1.870328970283e+00 1.041620326911e+00 1.119641311764e+00
140	-1.123185711914e-01 7.386122764150e-02 4.815455667537e-01 3.133106461572e+00 -4.473776079039e+00 -4.223647671741e+00 -7.035155535495e-01 -2.962064596458e-01 -3.368818171084e+00 3.999831769796e+00 4.251526543664e+00 -2.112699821116e+00 1.870330111728e+00 1.041620042605e+00 1.119638901200e+00
150	-1.123196488279e-01 7.386071005051e-02 4.815455303277e-01 3.133107884768e+00 -4.473775803642e+00 -4.223648072055e+00 -7.035148526466e-01 -2.962055026443e-01 -3.368820929708e+00 3.999832106213e+00 4.251526591924e+00 -2.112700220177e+00 1.870331667886e+00 1.041619606532e+00 1.119636460180e+00
160	-1.123208451431e-01 7.386019150395e-02 4.815455192129e-01 3.133109376210e+00 -4.473775553921e+00 -4.223648599469e+00 -7.035140343914e-01 -2.962043333665e-01 -3.368824227405e+00 3.999832452852e+00 4.251526658733e+00 -2.112700607664e+00 1.870333571444e+00 1.041619082583e+00 1.119634121122e+00
170	-1.123222391391e-01 7.385979900062e-02 4.815455859464e-01 3.133110958510e+00 -4.473775441604e+00 -4.223649328236e+00 -7.035131787900e-01 -2.962030674058e-01 -3.368827922495e+00 3.999832860835e+00 4.251526809211e+00 -2.112700874411e+00 1.870335705500e+00 1.041618612585e+00 1.119631963300e+00
180	-1.123239525589e-01 7.385966041190e-02 4.815457920724e-01 3.133112672352e+00 -4.473775573570e+00 -4.223650337981e+00 -7.035123575448e-01 -2.962018359839e-01 -3.368831877557e+00 3.999833400922e+00 4.251527126880e+00 -2.112700915197e+00 1.870337946536e+00 1.041618399201e+00 1.119629989850e+00
190	-1.123261116521e-01 7.385986317165e-02 4.815461897260e-01 3.133114552566e+00 -4.473776004337e+00 -4.223651681516e+00 -7.035116035293e-01 -2.962007322872e-01 -3.368836035556e+00 3.999834136474e+00 4.251527681256e+00 -2.112700661232e+00 1.870340215246e+00 1.041618687517e+00 1.119628112979e+00
200	-1.123288139624e-01 7.386042113859e-02 4.815468040823e-01 3.133116607892e+00 -4.473776702995e+00 -4.223653354157e+00 -7.035108985224e-01 -2.961997675440e-01 -3.368840443428e+00 3.999835091324e+00 4.251528491829e+00 -2.112700101206e+00 1.870342507502e+00 1.041619776468e+00 1.119626129750e+00
210	-1.123320469651e-01 7.386125947897e-02 4.815476184223e-01 3.133118822801e+00 -4.473777562143e+00 -4.223655289397e+00 -7.035101921089e-01 -2.961988719519e-01 -3.368845215547e+00 3.999836231051e+00 4.251529507952e+00 -2.112699292626e+00 1.870344879384e+00 1.041622046260e+00 1.119623691702e+00
220	-1.123355728806e-01 7.386222593003e-02 4.815485643084e-01 3.133121189385e+00 -4.473778451482e+00 -4.223657392591e+00 -7.035094398943e-01 -2.961979378732e-01 -3.368850480466e+00 3.999837470068e+00 4.251530616154e+00 -2.112698363795e+00 1.870347402249e+00 1.041625951137e+00 1.119620305649e+00
230	-1.123388695029e-01 7.386312950271e-02 4.815495213102e-01 3.133123751144e+00 -4.473779294493e+00 -4.223659604450e+00 -7.035086332317e-01 -2.961968651191e-01 -3.368856355341e+00 3.999838700344e+00 4.251531670546e+00 -2.112697498472e+00 1.870350136589e+00 1.041631926701e+00 1.119615413027e+00
240	-1.123412862219e-01 7.386379066392e-02 4.815503352685e-01 3.133126632711e+00 -4.473780119661e+00 -4.223661953385e+00 -7.035077898007e-01 -2.961955589182e-01 -3.368862943252e+00 3.999839827971e+00 4.251532533559e+00 -2.112696900233e+00 1.870353167083e+00 1.041640225210e+00 1.119608539224e+00
250	-1.123423679978e-01 7.386407297874e-02 4.815508566910e-01 3.133130036130e+00 -4.473781043630e+00 -4.223664555006e+00 -7.035069055808e-01 -2.961938909383e-01 -3.368870339900e+00 3.999840792203e+00 4.251533105186e+00 -2.112696746697e+00 1.870356668586e+00 1.041650757334e+00 1.119599452141e+00
260	-1.123421050498e-01 7.386388135424e-02 4.815509893758e-01 3.133134213878e+00 -4.473782188779e+00 -4.223667554915e+00 -7.035059129305e-01 -2.961916879488e-01 -3.368878652928e+00 3.999841564475e+00 4.251533334884e+00 -2.112697158283e+00 1.870360918701e+00 1.041663044347e+00 1.119588247147e+00
270	-1.123407983939e-01 7.386314239608e-02 4.815507218023e-01 3.133139414669e+00 -4.473783599360e+00 -4.223671054571e+00 -7.035047111221e-01 -2.961888176213e-01 -3.368888003339e+00 3.999842141672e+00 4.251533221056e+00 -2.112698197657e+00 1.870366169668e+00 1.041676301343e+00 1.119575332286e+00
280	-1.123386812455e-01 7.386181714321e-02 4.815501337254e-01 3.133145791568e+00 -4.473785239692e+00 -4.223675073903e+00 -7.035032646761e-01 -2.961853360923e-01 -3.368898450884e+00 3.999842569093e+00 4.251532831198e+00 -2.112699873495e+00 1.870372433060e+00 1.041689575079e+00 1.119561349815e+00
290	-1.123357435956e-01 7.385996887794e-02 4.815493936316e-01 3.133153301191e+00 -4.473787090658e+00 -4.223679588018e+00 -7.035016646367e-01 -2.961815552058e-01 -3.368909928070e+00 3.999842995125e+00 4.251532359477e+00 -2.112702107248e+00 1.870379389961e+00 1.041701838045e+00 1.119547081229e+00
300	-1.123319420641e-01 7.385782880660e-02 4.815487429111e-01 3.133161695455e+00 -4.473789259547e+00 -4.223684616295e+00 -7.035000820431e-01 -2.961779415589e-01 -3.368922288009e+00 3.999843702242e+00 4.251532163656e+00 -2.112704685001e+00 1.870386545004e+00 1.041712013901e+00 1.119533353811e+00
310	-1.123274315974e-01 7.385574207022e-02 4.815484254213e-01 3.133170685846e+00 -4.473791994363e+00 -4.223690289759e+00 -7.034986754059e-01 -2.961749168633e-01 -3.368935390479e+00 3.999845044657e+00 4.251532679494e+00 -2.112707303414e+00 1.870393491433e+00 1.041718970245e+00 1.119520950434e+00
320	-1.123224735085e-01 7.385396935475e-02 4.815485680323e-01 3.133180180730e+00 -4.473795566531e+00 -4.223696809684e+00 -7.034975408652e-01 -2.961726917051e-01 -3.368949116240e+00 3.999847308179e+00 4.251534225154e+00 -2.112709764811e+00 1.870400070013e+00 1.041721641339e+00 1.119510487044e+00
330	-1.123171997187e-01 7.385251655044e-02 4.815491098172e-01 3.133190366093e+00 -4.473800104691e+00 -4.223704302717e+00 -7.034967165917e-01 -2.961712105821e-01 -3.368963343792e+00 3.999850598464e+00 4.251536846172e+00 -2.112712157201e+00 1.870406345816e+00 1.041719471864e+00 1.119502229155e+00
